,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
159,d_divij,,Mumbai,1689,309,38152,116,"The @OfficeofUT FB Live was worse than Radhe. Clueless, confused, creditchor.

Yaar yeh LCM hain.. LazyCM.",[]
160,AJITRAI84820570,jindgi khul ke jio kal ho na ho👌🙏🙏🙏🙏🙏,,12,9,439,53,"@AK4784877825 @somitsenTOI @nnatuTOI @Shilparanipeta @richapintoi @Uber @Uber_India @UberINSupport @prabhjeet_s @dkhos @Zubair99619529 @TOIMumbai @CNBCTV18Live @avinashdhakne @CPMumbaiPolice @adv_anilparab @advanilparab 
@OfficeofUT @CMOMaharashtra
@UdhavThackeray @Dwalsepatil
@OfficeOfNG @nitin_gadkari 
@MORTHIndia Action  PLS",[]
161,kjayeshb,"Director, Energy Systems","Maharashtra, India",4352,125,104697,0,"@investindia @CMOMaharashtra @OfficeofUT @PMOIndia @Electronics_GoI @GoI_MeitY @CimGOI @DIPPGOI @PIBMumbai @NITIAayog @PiyushGoyal @PiyushGoyalOffc @amitabhk87 @GST_Council
#MSMEs
MERGE PETROLEUM GAS OIL ELECTRICITY RTO
STATE DIST TAX IN #GST
Immediate
#MSME
Development Not-Possible
CORRUPT MLA MP?
#RBI
WhyReminder?@RBI @MinOfPower
Down Economy
@ECISVEEP
PPL Struggle Food Water Medical
@DARPG_GoI
@rashtrapatibhvn @PetroleumMin @PMOIndia https://t.co/HH0hSl8eMJ","['MSMEs', 'GST', 'MSME', 'RBI']"
162,Rohu231,"homeopathy 
medical student",,168,21,367,20,"Save us now, so that we can save you in future 🙏
@AmitV_Deshmukh @DrRPNishank  @PMOIndia  @anubha1812  @CMOMaharashtra  @OfficeofUT  @SonuSood  @BeingSalmanKhan  @dhruv_rathee  @SrBachchan  @AnupamPKher 
#muhsonline #muhsonlineexams https://t.co/pvRnseEhna",[]
163,GAbabur,"#IndiaFirst #SelfLast.                                                  
Real Nationalist and destroying all fake propaganda is motive.","Mumbai, India",733,114,6970,0,"@thakkar_sameet @OfficeofUT @ArvindKejriwal For Maharashtra , We voted for Progressive but SS backstab us..  but for Delhi , People are really fool who do not understand Reality. Only need is Free...",[]
164,dev1520,,"Mumbai, India",1024,215,65762,24,"Maharashtra's reaction to @OfficeofUT FB Live - Break the Chain nahin, Check the Brain CM.",[]
165,Faizanazizi,Author|Entrepreneur|Social activistl Member @IndianRedCross lPresident @HumanSocialCar1l Member @INCIndia lMember @incmaharashtra Manifesto Committee election19,Mumbai,1508,369,8439,0,"Who will pay those people utilities due who r not abke to work by lockdown imposed by u? Request give instruction to power company &amp; others not to disconnect services till lockdown mostly daily wages workers and people who lost tbeir job r suffering
@OfficeofUT 
@NANA_PATOLE https://t.co/f6GQhoiTmp",[]
166,jampachakar,"People say I am a Natural Leader. 
Passionate & Ambitious is how would I like to discribe myself. 
Proprietor, Creative & Analytical! 

That's Me",Mumbai,530,189,1303,0,"@agrawalankit84 @OfficeofUT @AUThackeray No point. There is nothing beyond Mumbai for them.

City CM and EM!",[]
167,JPulasaria,Love my country..hate anti nationals..RTs are nt endorsements..on my own !! Followed By My Faith n Our PM,India,2270,4503,400285,0,"@thakkar_sameet @OfficeofUT @ArvindKejriwal Ruling or just Bots who are placed ?? 

We dnt see any leadership qualities round here ...!!",[]
168,indianautolpg,"Indian Auto LPG Coalition working towards promoting a Greener, Cheaper and Efficient Alternative Fuel in India available at 1200+ outlets across 500+ Cities","Faridabad, India",229,389,3488,0,"https://t.co/ABC6ZnwjlH Auto LPG is a proven and futuristic solution - for tomorrow and the present-and is available today…World's 3rd most widely used automotive fuel!!
#AutoLPG @OfficeofUT @adv_anilparab @isanjaybansode @AjitPawarSpeaks @suyashgupta",['AutoLPG']
169,YasShrey,Jai Shri Ram!,Mumbai,1275,296,140704,5,"The Mumbai Metro will start soon. I can already see a massive propaganda machinery being unveiled by @OfficeofUT to take credit for it.

He's done nothing. Absolutely nothing. Yet, will take credit for each and everything. The truth has to reach the masses.",[]
170,KashanH10684805,student,,47,4,1303,5,"@dinesh_sir @AdvMamtaSharma @anubha1812 Hope that decision comes sooner,
Aa day are passing pressure on students is also increasing , #cancelboardexam2021 #modijisave12thstudents #uddhavjinoofflineexams #InternalAssessment @DrRPNishank @cbseindia29 @narendramodi @OfficeofUT @VarshaEGaikwad",[]
171,ShivprasadTale,,Temburani,52,2,37,3,"#StateFocus

Maharashtra is developing 3 Electronic Manufacturing Clusters (EMC) with world-class R&amp;D and testing facilities in Pune, Aurangabad and Navi Mumbai!

Learn more: https://t.co/rnJsAS0cub

#InvestinIndia #InvestIndia #ESDM #Electronics @CMOMaharashtra @OfficeofUT https://t.co/YLx0C7fMEf",['StateFocus']
172,shouryapandey3,"Political/Gamer/Tweetster/Sarcastic

video editing♥️ and a Music Fan",India,116,116,4184,0,@thakkar_sameet @OfficeofUT @ArvindKejriwal glad my CM is yogi. not freebie master,[]
173,Madrasi43969876,an Indian,India,1527,311,54770,479,"This is a local Urdu news channel in Adarsh bhai @AshokChavanINC's town 

cc: CM UTha @officeofut https://t.co/FnUpqBTMBf",[]
174,Anjali75977980,"Financial Consultant ,Trader, Life Coach,POSH and POCSO trainer,Child counsellor.
No DM pls",,1052,755,6481,0,@ek_aalu_bonda @OfficeofUT @priyankac19 The empowerment specialist madam looks to empower all except her state and congress ruled...those are allowed to degrade women and do whatever..no quetsions to be asked..statistics will be compared with foreign countries,[]
175,garimakataria,Entrepreneur | Digital Marketer |,,294,175,395,9,"Dear #UddhavThackeray if we've shut our businesses for this long, govt can too shut our light bills, emis, rents, school fees etc. Cause we're all together in this 
#maharashtralockdown @CMOMaharashtra @OfficeofUT @AUThackeray @supriya_sule @AjitPawarSpeaks #Relief","['UddhavThackeray', 'maharashtralockdown', 'Relief']"
176,SauravThorat6,,,24,2,956,5,"@dinesh_sir @AdvMamtaSharma @anubha1812 Hope that decision comes sooner,
Aa day are passing pressure on students is also increasing , #cancelboardexam2021 #modijisave12thstudents #uddhavjinoofflineexams #InternalAssessment @DrRPNishank @cbseindia29 @narendramodi @OfficeofUT @VarshaEGaikwad",[]
177,Mustafa30542506,,,8,0,1034,5,"@dinesh_sir @AdvMamtaSharma @anubha1812 Hope that decision comes sooner,
Aa day are passing pressure on students is also increasing , #cancelboardexam2021 #modijisave12thstudents #uddhavjinoofflineexams #InternalAssessment @DrRPNishank @cbseindia29 @narendramodi @OfficeofUT @VarshaEGaikwad",[]
178,Sumit03566954,,,339,11,374,3,"@dinesh_sir @AdvMamtaSharma @anubha1812 Now, students careers are postponed day by day!
Almost it's close to 2yrs being in 12!!Offlineexamshould not be a option !Student are already in stress /depression .
@PMOIndia @narendramodi @DrRPNishank @OfficeofUT #modiji_cancel12thboards #CencelExamSaveStudent @VarshaEGaikwad",[]
179,Sumit03566954,,,339,11,374,5,"@dinesh_sir @AdvMamtaSharma @anubha1812 Hope that decision comes sooner,
Aa day are passing pressure on students is also increasing , #cancelboardexam2021 #modijisave12thstudents #uddhavjinoofflineexams #InternalAssessment @DrRPNishank @cbseindia29 @narendramodi @OfficeofUT @VarshaEGaikwad",[]
180,akashjbhatia,"Hindu, i believe in equality.",Kingdom of Saudi Arabia,469,295,32672,0,@ek_aalu_bonda @OfficeofUT @priyankac19 Hey @priyankac19 is this the women empowerment of @ShivsenaComms ?? Fcuking cowards.,[]
181,FakhruddinHuss5,,,81,3,38,53,"@AK4784877825 @somitsenTOI @nnatuTOI @Shilparanipeta @richapintoi @Uber @Uber_India @UberINSupport @prabhjeet_s @dkhos @Zubair99619529 @TOIMumbai @CNBCTV18Live @avinashdhakne @CPMumbaiPolice @adv_anilparab @advanilparab 
@OfficeofUT @CMOMaharashtra
@UdhavThackeray @Dwalsepatil
@OfficeOfNG @nitin_gadkari 
@MORTHIndia Action  PLS",[]
182,All5eeingEye,"🇮🇳

I see you.",India,206,43,16903,61,"Dear @CMOMaharashtra @OfficeofUT @AUThackeray

On one hand your Govt promised to hand over Aarey to Forest Dept

On other hand your Govt is looking to monetize Aarey!!!

Sirs, Mumbai is still watching over Aarey

Kindly complete hand over to Forest Dept immediately 

Thank You https://t.co/FZh4mBhfhB",[]
183,dev1520,,"Mumbai, India",1024,215,65762,116,"The @OfficeofUT FB Live was worse than Radhe. Clueless, confused, creditchor.

Yaar yeh LCM hain.. LazyCM.",[]
184,Rohu231,"homeopathy 
medical student",,168,21,367,18,"Please MUHS, it’s a humble request. Either take our exams online or take them only after all students are vaccinated. Pehle Suraksha, Phir Pariksha!
@OfficeofUT @PMOIndia @DrAjitpathak1 @AmitV_Deshmukh @DrAmolDeshmukh @DrHritik @rupesh_nathe @Pravinraje_rade @SonuSood @sachin_rt",[]
185,MayurDhanani31,"❣️नमो-नमो, जी शंकरा 🔱
#hustle//#loyalty//#respect❤️
My heart beats for @imro45💘
 first look on the earth🌏 31 oct 👼
Indian ..🇮🇳
 ♌ LEO //19//",,38,10,240,5,"@dinesh_sir @AdvMamtaSharma @anubha1812 Hope that decision comes sooner,
Aa day are passing pressure on students is also increasing , #cancelboardexam2021 #modijisave12thstudents #uddhavjinoofflineexams #InternalAssessment @DrRPNishank @cbseindia29 @narendramodi @OfficeofUT @VarshaEGaikwad","['cancelboardexam2021', 'modijisave12thstudents', 'uddhavjinoofflineexams', 'InternalAssessment']"
186,Frustrated_Insa,"RTs are not endorsements. 

Politically Incorrect, logically accurate arguments.",,240,73,3364,0,@OfficeofUT is a disgrace. Maha still fails to control the cases and this CM only shows face for photops and general statements. https://t.co/PkUOKQ41gG,[]
187,sapnamodgil,,,384,716,122185,479,"This is a local Urdu news channel in Adarsh bhai @AshokChavanINC's town 

cc: CM UTha @officeofut https://t.co/FnUpqBTMBf",[]
188,Pranay36511694,,,101,9,1253,2,"We need our money in this covid pandemic #PMCBankVictims
#PMCBankVictims #PMCBankCrisis #PMCBankScam #PMCBank @PMOIndia @narendramodi @nsitharaman @RBI @DasShaktikanta @OfficeofUT @CMOMaharashtra @INCMaharashtra @RahulGandhi @ndtv @the_hindu @BBCHindi @JagranNews @thewire_in","['PMCBankVictims', 'PMCBankVictims', 'PMCBankCrisis', 'PMCBankScam', 'PMCBank']"
189,shobhits89,,"Lucknow, Uttar Pradesh",1333,379,271403,479,"This is a local Urdu news channel in Adarsh bhai @AshokChavanINC's town 

cc: CM UTha @officeofut https://t.co/FnUpqBTMBf",[]
190,indosecular,,,950,704,295036,1,"@WorldCupDefence @MahuaMoitra @RahulGandhi @OfficeofUT Good that she spoke but she wasn't the first. Check for yourself. Every non-INC leader's video goes viral in media and SM so that you THINK and ASSUME that they are the only one speaking. When INC leaders speak, speaker even goes to the extent of switching off the mic.",[]
191,manishbytes,"UrbanSketcher | Cartoonist | Microblogger | VisualArts | Music | Movies | People | Places | IT | Technology
...just about anything and everything!",,458,223,12689,11,"@DMHospitalPune  #COVID19Vaccination centre at BSM school, Mayur colony, Pune.   
Second phase:
31.5.21. 10 am.
11000 = Total vaccinations in 6 days +1hour.
&gt;1000 = Total charity doses in 6days + 1 hour. Equivalent of &gt; Rs. 900,000. 

@mangeshkarlata @CMOMaharashtra @OfficeofUT",['COVID19Vaccination']
192,mumbailover1,This city needs a Revamp,,86,469,4638,5,"The Mumbai Metro will start soon. I can already see a massive propaganda machinery being unveiled by @OfficeofUT to take credit for it.

He's done nothing. Absolutely nothing. Yet, will take credit for each and everything. The truth has to reach the masses.",[]
193,tejaswi190,,,152,105,95107,479,"This is a local Urdu news channel in Adarsh bhai @AshokChavanINC's town 

cc: CM UTha @officeofut https://t.co/FnUpqBTMBf",[]
194,AkhandAryabrat,"An Unapologetic Hindu


 Back Up.   @AkhandDharma",Deep down ,148,1204,89297,0,But Mumbai is led by a Khichdi Govt Led by world best CM @OfficeofUT . https://t.co/DDPalKbOoO,[]
195,AimimShama,Aimim,"Nagpur, India",128,156,365,0,"Happy to announce that @asadowaisi sahab has donated ventilators and Oxygen Concentrators to Aurangabad, Malegaon and Dhule in Maharashtra. 

They have been successfully delivered to Aurangabad this morning.@imtiaz_jaleel @DrGaffarQuadri @OfficeofUT @Naseeruddin_sah @AimimShama https://t.co/mAh6UYgFoj",[]
196,shans_desh,. Likes to read what is not written or see what is not told or watch 'The News' beyond the news..!,"Pune, India",165,69,356,11,"@DMHospitalPune  #COVID19Vaccination centre at BSM school, Mayur colony, Pune.   
Second phase:
31.5.21. 10 am.
11000 = Total vaccinations in 6 days +1hour.
&gt;1000 = Total charity doses in 6days + 1 hour. Equivalent of &gt; Rs. 900,000. 

@mangeshkarlata @CMOMaharashtra @OfficeofUT",['COVID19Vaccination']
197,rathod_ias,| Proud Indian | @sachin_rt forever💓 | Retweet ≠ Endorsement |,"Mumbai, India",211,982,2423,0,"@chetans69827661 @supriya_sule @OfficeofUT @CMOMaharashtra @MujibPathanlnc If #covid19 continues for next 5 years, then what will this CM do? Lockdown for 5 years?? Now its time to end this here and let other people live their life. let them earn something to eat their meals. More people will die due to financial problems than this covid. #lockdown","['covid19', 'lockdown']"
198,tejaswi190,,,152,105,95107,4,"@squineon @SaffronBrother9 @OfficeofUT You can have disputes between parties, but please don't entertain such behavior of radicals. We shouldn't watch with folded hands when somebody defame our country.
Hope you will take strict action on this channel.",[]
199,NasimAh53386937,,,32,16,59,53,"@AK4784877825 @somitsenTOI @nnatuTOI @Shilparanipeta @richapintoi @Uber @Uber_India @UberINSupport @prabhjeet_s @dkhos @Zubair99619529 @TOIMumbai @CNBCTV18Live @avinashdhakne @CPMumbaiPolice @adv_anilparab @advanilparab 
@OfficeofUT @CMOMaharashtra
@UdhavThackeray @Dwalsepatil
@OfficeOfNG @nitin_gadkari 
@MORTHIndia Action  PLS",[]
